,,Name,Username,"User Profile","Tweet ID",Retweets,Comments,Favorites,"Is Retweet?",Date,"Tweet Text","Tweet Source","Status URL"
15,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1182363469997363201",11,6,15,,"2019-10-10 18:33:13","Quem aí quer ganhar ingresso para a #PythonBrasil2019?Se você puder estar em Ribeirão Preto/SP de 23 a 28/10, cadastre-se no link https://t.co/wck3VvikJk e saiba como o Olist pode ajudar você a participar do maior evento de #programação #Python do país! https://t.co/p5oiFhgNlk","Twitter Web App",https://www.twitter.com/olistbr/status/1182363469997363201
16,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1187094420325326848",2,0,0,,"2019-10-23 19:52:19","RT @gazetadopovo: Com aporte do SoftBank, marketplace Olist quer 15 vezes mais clientes até 2020 https://t.co/BuBTecjak7 (via @gpeconomia)","Twitter Web App",https://www.twitter.com/olistbr/status/1187094420325326848
17,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1247985372786819084",0,4,1,,"2020-04-08 20:31:13","Ficar em isolamento não precisa ser sinônimo de vendas paradas. E foi pensando nisso que preparamos o guia Economia da Quarentena. Confira o conteúdo COMPLETO e saiba como enfrentar os impactos do Covid-19: https://t.co/wmkfIU66ir","mLabs - Gestão de Redes Sociais",https://www.twitter.com/olistbr/status/1247985372786819084
18,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1250145344375214091",0,6,1,,"2020-04-14 19:34:11","Você é o nosso convidado a acessar o nosso novo portal e adquirir muito conteúdo relevante de qualidade. Vem ver como ficou! Acesse: https://t.co/Ntb41Lywio","mLabs - Gestão de Redes Sociais",https://www.twitter.com/olistbr/status/1250145344375214091
19,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1275882636955791361",0,0,2,,"2020-06-24 20:05:00","Olist Talks é um evento online e gratuito criado para ajudar quem deseja reinventar suas vendas.  O tema da semana é DIGITALIZAÇÃO. Se você tem dúvidas sobre o assunto, não pode perder! para acompanhar acesse: https://t.co/mkU9YesAnm https://t.co/ryXwu5qwrj","Twitter Web App",https://www.twitter.com/olistbr/status/1275882636955791361
20,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1275888531773296641",0,2,2,,"2020-06-24 20:28:25","O pequeno negócio precisa de ferramentas para alavancar suas vendas, e isso é o que motiva o olist. Acompanhe o #olisttalks pelo link: https://t.co/mkU9YesAnm","Twitter Web App",https://www.twitter.com/olistbr/status/1275888531773296641
21,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1276223943024750592",1,0,0,,"2020-06-25 18:41:13","RT @meioemensagem: A @olistbr apresentou Bruno Martins como seu chief technology officer. Executivo vai auxiliar no processo de expansão da…",TweetDeck,https://www.twitter.com/olistbr/status/1276223943024750592
22,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278436517581553675",0,0,2,,"2020-07-01 21:13:12","Olist talks à toda hoje no YouTube! Não perca Tiago Dalvi e Flávio Dias daqui a pouquinho conversando sobre a ""Transformação digital e o futuro do varejo"" - Acesse agora mesmo e não perca! https://t.co/8gBhcj0UGS",TweetDeck,https://www.twitter.com/olistbr/status/1278436517581553675
23,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278437522612379649",0,1,2,,"2020-07-01 21:17:12","Começou o keynote com Tiago Dalvi e Flávio Dias - Agora no YouTube! - Transformação digital e o futuro do varejohttps://t.co/8gBhcj0UGS https://t.co/H25S3T4jqH",TweetDeck,https://www.twitter.com/olistbr/status/1278437522612379649
24,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278440368737042432",0,0,1,,"2020-07-01 21:28:30","Flávio Dias: Transformação começou já há algum tempo e agora a pandemia veio a catalizar o processo. #olisttalks #olist",TweetDeck,https://www.twitter.com/olistbr/status/1278440368737042432
25,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278440873819344896",0,0,2,,"2020-07-01 21:30:31","Flávio Dias: Não existe uma receita, mas a grande empresa precisa passar por um processo de ser mais rápida e mais próxima do cliente. É preciso respirar isso e entender o que ele gosta e porque ele compra com você.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278440873819344896
26,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278441226799374338",0,0,2,,"2020-07-01 21:31:55","Flávio Dias: As empresas precisam ser mais digitais, aceitar a nova dinâmica e aceitar o processo de adaptação e mudança. O que trouxe a empresa até aqui não é o que vai levar a empresa daqui pra frente.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278441226799374338
27,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278442414173294599",0,0,2,,"2020-07-01 21:36:38","Flavio Dias: Lojas servindo como mini hubs é um diferencial. As lojas que conseguirem construir isso darão um grande passo para o sucesso.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278442414173294599
28,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278442886149914624",0,0,2,,"2020-07-01 21:38:31","Tiago Dalvi: Cada vez mais os players menores podem fazer parte deste processo de transformação dos grandes players entrando nos marketplaces. Entrando hoje você já está atrasado. É preciso entrar o quanto antes.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278442886149914624
29,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278443198118080513",0,0,2,,"2020-07-01 21:39:45","Flavio Dias: Querer fazer tudo dentro de casa ficou no passado. Cada dia que vc está fora é um dia que você está deixando de aprender e a construir como será seu negócio daqui pra frente.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278443198118080513
30,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278443654340894721",0,0,1,,"2020-07-01 21:41:34","Flavio Dias: A hiper-personalização da jornada do cliente é algo em crescimento no ecommerce. É algo que a Amazon já faz há algum tempo. Este processo já extrapolou o site da loja inclusive.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278443654340894721
31,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278444193808109568",0,0,2,,"2020-07-01 21:43:42","Tiago Dalvi: O passo mais simples para a digitalização é entender seu mercado, quem opera bem e a partir daí pode começar a pensar em dar o primeiro passo.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278444193808109568
32,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278444498431991809",0,0,1,,"2020-07-01 21:44:55","Flavio Dias: Digitalização do negócio: Entender primeiro o que vc faz melhor do que os outros. Quais seus diferenciais. Entendendo isso, é achar os parceiros certos e colocar sua ideia de pé. #olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278444498431991809
33,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278444688329113600",0,0,2,,"2020-07-01 21:45:40","Flavio Dias: Marketplaces já têm o tráfego adquirido e depois pode evoluir para ter seu próprio site. O importante é começar.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278444688329113600
34,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278444988553199617",0,0,2,,"2020-07-01 21:46:52","Tiago Dalvi: O ecommerce deveria ser uma extensão da sua loja física. Não pode ser diferente. O mesmo cuidado que vc tem na sua loja física deveria estar também em sua operação online.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278444988553199617
35,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278445427071778821",0,0,1,,"2020-07-01 21:48:36","Flavio Dias: Gatilhos para gerar conversão neste momento: e-mail marketing nunca foi um gatilho de conversão. Hoje dificilmente você consegue chegar a dois dígitos. Os grandes gatilhos são: efetividade em seus gastos, suas parcerias. #olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278445427071778821
36,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278446146927673351",0,0,2,,"2020-07-01 21:51:28","Flavio Dias: Acesso orgânico e returning users são formas de chegar ao cliente, além de uma experiência fluida em seu site, com boas fotos e descrições. O ecommerce é a atração, a conversão e a recompra. Para cada uma delas existem técnicas. #olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278446146927673351
37,,olist,olistbr,https://www.twitter.com/olistbr,"ID: 1278446434380103680",0,0,2,,"2020-07-01 21:52:36","Tiago Dalvi: Não construa sua empresa com uma única fonte de liquidez. Não se limite a um único passo. Não construa seu negócio dependente de um único canal.#olisttalks #olist #ecommerce",TweetDeck,https://www.twitter.com/olistbr/status/1278446434380103680
